cdUF;UF;dcUF;codIBGE;nmMun;Pop
12;AC;Acre;1200401;Rio Branco;419452
12;AC;Acre;1200203;Cruzeiro do Sul;89760
12;AC;Acre;1200500;Sena Madureira;47168
12;AC;Acre;1200609;Tarauacá;43730
12;AC;Acre;1200302;Feijó;34986
12;AC;Acre;1200104;Brasiléia;27123
12;AC;Acre;1200450;Senador Guiomard;23446
12;AC;Acre;1200385;Plácido de Castro;20147
12;AC;Acre;1200708;Xapuri;19866
12;AC;Acre;1200427;Rodrigues Alves;19767
12;AC;Acre;1200351;Marechal Thaumaturgo;19727
12;AC;Acre;1200336;Mâncio Lima;19643
12;AC;Acre;1200807;Porto Acre;19141
12;AC;Acre;1200252;Epitaciolândia;18979
12;AC;Acre;1200013;Acrelândia;15721
12;AC;Acre;1200393;Porto Walter;12497
12;AC;Acre;1200179;Capixaba;12280
12;AC;Acre;1200138;Bujari;10572
12;AC;Acre;1200344;Manoel Urbano;9701
12;AC;Acre;1200328;Jordão;8628
12;AC;Acre;1200054;Assis Brasil;7649
12;AC;Acre;1200435;Santa Rosa do Purus;6893
27;AL;Alagoas;2704302;Maceió;1031597
27;AL;Alagoas;2700300;Arapiraca;234309
27;AL;Alagoas;2707701;Rio Largo;75662
27;AL;Alagoas;2706307;Palmeira dos Índios;73452
27;AL;Alagoas;2709301;União dos Palmares;65963
27;AL;Alagoas;2706703;Penedo;64005
27;AL;Alagoas;2708600;São Miguel dos Campos;62328
27;AL;Alagoas;2701407;Campo Alegre;57997
27;AL;Alagoas;2702306;Coruripe;57647
27;AL;Alagoas;2704708;Marechal Deodoro;52848
27;AL;Alagoas;2702405;Delmiro Gouveia;52501
27;AL;Alagoas;2708006;Santana do Ipanema;47910
27;AL;Alagoas;2700409;Atalaia;47540
27;AL;Alagoas;2709152;Teotônio Vilela;44570
27;AL;Alagoas;2702900;Girau do Ponciano;41549
27;AL;Alagoas;2706901;Pilar;35310
27;AL;Alagoas;2708501;São Luís do Quitunde;34825
27;AL;Alagoas;2708808;São Sebastião;34424
27;AL;Alagoas;2704500;Maragogi;33351
27;AL;Alagoas;2708402;São José da Tapera;32462
27;AL;Alagoas;2704203;Limoeiro de Anadia;28904
27;AL;Alagoas;2705507;Murici;28428
27;AL;Alagoas;2709202;Traipu;27934
27;AL;Alagoas;2701001;Boca da Mata;27429
27;AL;Alagoas;2707305;Porto Calvo;27331
27;AL;Alagoas;2709400;Viçosa;25655
27;AL;Alagoas;2703106;Igaci;25596
27;AL;Alagoas;2707107;Piranhas;25324
27;AL;Alagoas;2705002;Mata Grande;25200
27;AL;Alagoas;2704005;Junqueiro;24716
27;AL;Alagoas;2703205;Igreja Nova;24670
27;AL;Alagoas;2705101;Matriz de Camaragibe;24627
27;AL;Alagoas;2702355;Craíbas;24396
27;AL;Alagoas;2706406;Pão de Açúcar;24307
27;AL;Alagoas;2703809;Joaquim Gomes;24167
27;AL;Alagoas;2708303;São José da Laje;24064
27;AL;Alagoas;2702603;Feira Grande;22192
27;AL;Alagoas;2702108;Colônia Leopoldina;21935
27;AL;Alagoas;2705705;Olho d'Água das Flores;21690
27;AL;Alagoas;2701308;Cajueiro;21397
27;AL;Alagoas;2700102;Água Branca;20263
27;AL;Alagoas;2709103;Taquarana;20162
27;AL;Alagoas;2707503;Porto Real do Colégio;20158
27;AL;Alagoas;2704401;Major Isidoro;19923
27;AL;Alagoas;2700706;Batalha;18440
27;AL;Alagoas;2703304;Inhapi;18398
27;AL;Alagoas;2702553;Estrela de Alagoas;18304
27;AL;Alagoas;2705200;Messias;18201
27;AL;Alagoas;2706802;Piaçabuçu;17868
27;AL;Alagoas;2701605;Canapi;17715
27;AL;Alagoas;2704104;Lagoa da Canoa;17692
27;AL;Alagoas;2700201;Anadia;17507
27;AL;Alagoas;2701704;Capela;16907
27;AL;Alagoas;2700508;Barra de Santo Antônio;16201
27;AL;Alagoas;2703007;Ibateguara;15637
27;AL;Alagoas;2706505;Passo de Camaragibe;15270
27;AL;Alagoas;2707206;Poço das Trincheiras;14447
27;AL;Alagoas;2708907;Satuba;14042
27;AL;Alagoas;2708956;Senador Rui Palmeira;13893
27;AL;Alagoas;2706448;Paripueira;13484
27;AL;Alagoas;2704807;Maribondo;13123
27;AL;Alagoas;2705606;Novo Lino;12837
27;AL;Alagoas;2702801;Flexeiras;12823
27;AL;Alagoas;2706000;Olivença;11681
27;AL;Alagoas;2706109;Ouro Branco;11573
27;AL;Alagoas;2703759;Jequiá da Praia;11495
27;AL;Alagoas;2707602;Quebrangulo;11202
27;AL;Alagoas;2702504;Dois Riachos;11059
27;AL;Alagoas;2701209;Cacimbinhas;10920
27;AL;Alagoas;2708105;Santana do Mundaú;10637
27;AL;Alagoas;2702009;Coité do Nóia;10594
27;AL;Alagoas;2706422;Pariconha;10546
27;AL;Alagoas;2701100;Branquinha;10426
27;AL;Alagoas;2701506;Campo Grande;9576
27;AL;Alagoas;2701803;Carneiros;9568
27;AL;Alagoas;2705804;Olho d'Água do Casado;9507
27;AL;Alagoas;2704609;Maravilha;8850
27;AL;Alagoas;2703601;Japaratinga;8444
27;AL;Alagoas;2700607;Barra de São Miguel;8434
27;AL;Alagoas;2708709;São Miguel dos Milagres;8073
27;AL;Alagoas;2707404;Porto de Pedras;7618
27;AL;Alagoas;2706604;Paulo Jacinto;7556
27;AL;Alagoas;2707909;Santa Luzia do Norte;7344
27;AL;Alagoas;2701902;Chã Preta;7311
27;AL;Alagoas;2705408;Monteirópolis;7171
27;AL;Alagoas;2703502;Jacuípe;6992
27;AL;Alagoas;2708204;São Brás;6977
27;AL;Alagoas;2701357;Campestre;6972
27;AL;Alagoas;2700904;Belo Monte;6717
27;AL;Alagoas;2707800;Roteiro;6634
27;AL;Alagoas;2709004;Tanque d'Arca;6115
27;AL;Alagoas;2702207;Coqueiro Seco;5882
27;AL;Alagoas;2703700;Jaramataia;5751
27;AL;Alagoas;2705309;Minador do Negrão;5315
27;AL;Alagoas;2703403;Jacaré dos Homens;5185
27;AL;Alagoas;2705903;Olho d'Água Grande;5133
27;AL;Alagoas;2706208;Palestina;5061
27;AL;Alagoas;2702702;Feliz Deserto;4803
27;AL;Alagoas;2700805;Belém;4226
27;AL;Alagoas;2703908;Jundiá;4119
27;AL;Alagoas;2704906;Mar Vermelho;3474
27;AL;Alagoas;2707008;Pindoba;2903
13;AM;Amazonas;1302009;Itapiranga;9.312
13;AM;Amazonas;1301951;Itamarati;7.777
13;AM;Amazonas;1304062;Tabatinga;68.502
13;AM;Amazonas;1301704;Humaitá;57.195
13;AM;Amazonas;1302405;Lábrea;47.685
13;AM;Amazonas;1300607;Benjamin Constant;44.873
13;AM;Amazonas;1302553;Manaquiri;33.981
13;AM;Amazonas;1300409;Barcelos;27.772
13;AM;Amazonas;1303601;Santa Isabel do Rio Negro;26.566
13;AM;Amazonas;1304401;Urucurituba;24.098
13;AM;Amazonas;1303502;Pauini;19.616
13;AM;Amazonas;1301654;Guajará;17.193
13;AM;Amazonas;1304104;Tapauá;16.876
13;AM;Amazonas;1301605;Fonte Boa;16.409
13;AM;Amazonas;1300029;Alvarães;16.396
13;AM;Amazonas;1304302;Urucará;16.007
13;AM;Amazonas;1300839;Caapiranga;13.482
13;AM;Amazonas;1302306;Jutaí;13.462
13;AM;Amazonas;1303403;Parintins;116.439
13;AM;Amazonas;1301902;Itacoatiara;104.046
13;AM;Amazonas;1302108;Japurá;1.755
13;AM;Amazonas;1302603;Manaus;2255903
13;AM;Amazonas;1302504;Manacapuru;99613
13;AM;Amazonas;1301209;Coari;86713
13;AM;Amazonas;1302900;Maués;66159
13;AM;Amazonas;1304203;Tefé;59250
13;AM;Amazonas;1302702;Manicoré;57405
13;AM;Amazonas;1301852;Iranduba;49718
13;AM;Amazonas;1303809;São Gabriel da Cachoeira;47031
13;AM;Amazonas;1300805;Borba;42328
13;AM;Amazonas;1300300;Autazes;41005
13;AM;Amazonas;1303908;São Paulo de Olivença;40837
13;AM;Amazonas;1301100;Careiro;38820
13;AM;Amazonas;1303106;Nova Olinda do Norte;38665
13;AM;Amazonas;1303536;Presidente Figueiredo;38095
13;AM;Amazonas;1301407;Eirunepé;36121
13;AM;Amazonas;1300706;Boca do Acre;34958
13;AM;Amazonas;1303569;Rio Preto da Eva;34856
13;AM;Amazonas;1300508;Barreirinha;32919
13;AM;Amazonas;1301159;Careiro da Várzea;31459
13;AM;Amazonas;1301803;Ipixuna;31172
13;AM;Amazonas;1301308;Codajás;29691
13;AM;Amazonas;1301001;Carauari;28719
13;AM;Amazonas;1303304;Novo Aripuanã;26443
13;AM;Amazonas;1300144;Apuí;22739
13;AM;Amazonas;1300102;Anori;21937
